회사,제목,URL,경력,계약형태,지역,지역(구),직무
(주)헥토,"[헥토 ai랩] ai테크팀 (software engineer, ml 담당자 )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49334456&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력8년↑,정규직,서울,강남구,머신러닝 엔지니어
(주)덴컴,[ai 전문기업 덴컴] ml optimization 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333366&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력무관,정규직,서울,강남구,머신러닝 엔지니어
소프트아이(SOFTEYE),ml 엔지니어 채용 - cloud scale,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388876&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력1년↑,정규직,서울,성동구,머신러닝 엔지니어
(주)클래스유,[클래스유] 머신러닝 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489475&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력3년↑,정규직,서울,중구,머신러닝 엔지니어
(주)아이지아이코리아,ml engineer 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550972&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력5년↑,정규직,서울,종로구,머신러닝 엔지니어
(주)휴톰,[휴톰/의료기기 소프트웨어] 데이터 / ml 엔지니어(3년~),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49330744&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~7년,정규직,서울,마포구,머신러닝 엔지니어
(주)클레온,"ml engineer (machine learning, 머신러닝)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490405&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 2~10년,정규직,서울,중구,머신러닝 엔지니어
(주)라이앤캐처스,추천엔지니어(ml 엔지니어)를 모집합니다(경력 5년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390535&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력5년↑,정규직,서울,영등포구,머신러닝 엔지니어
(주)야놀자,software engineer - ml product,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519011&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력3년↑,정규직,서울,강남구,머신러닝 엔지니어
(주)더원테크,빅데이터 와 인공지능 ai 프로그램 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458875&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력무관,정규직,서울,금천구,머신러닝 엔지니어
(주)뉴로다임,ai(딥러닝) 연구 및 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524058&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,신입·경력,정규직,서울,성동구,머신러닝 엔지니어
(주)비바리퍼블리카,[토스] ml engineer(platform),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49221016&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력무관,정규직,서울,강남구,머신러닝 엔지니어
(주)이스트소프트,[estsoft] llm 머신러닝 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474136&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~7년,정규직,서울,서초구,머신러닝 엔지니어
(주)이스트소프트,[estsoft] 음성 인식(stt) 머신러닝 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496877&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~7년,정규직,서울,서초구,머신러닝 엔지니어
(주)딥브레인에이아이,머신러닝/딥러닝 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408973&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~20년,정규직,서울,강남구,머신러닝 엔지니어
이스트소프트,[estsoft] 음성 인식(stt) 머신러닝 엔지니어 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496581&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력3년↑,정규직,서울,서초구,머신러닝 엔지니어
(주)제이씨에프테크놀러지,머신러닝 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49240447&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~8년,정규직,서울,금천구,머신러닝 엔지니어
(주)데이터메이커,[전문연구요원 가능] ml engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539598&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~15년,정규직,대전전체,,머신러닝 엔지니어
(주)라이앤캐처스,[추천엔지니어 ml]추천엔지니어(경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392418&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 5~10년,정규직,서울전체,,머신러닝 엔지니어
라인플러스(주),voom ai lab - ml engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49391186&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력1년↑,정규직,경기,성남시 분당구,머신러닝 엔지니어
(주)퍼블릭에이아이,[퍼블릭에이아이] ml엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49172840&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력2년↑,정규직·무기계약직,서울,서초구,머신러닝 엔지니어
(주)헥토,"[헥토 ai랩] ai테크팀 (software engineer, ml 담당자 )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49334456&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력8년↑,정규직,서울,강남구,머신러닝 엔지니어
(주)덴컴,[ai 전문기업 덴컴] ml optimization 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333366&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력무관,정규직,서울,강남구,머신러닝 엔지니어
소프트아이(SOFTEYE),ml 엔지니어 채용 - cloud scale,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388876&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력1년↑,정규직,서울,성동구,머신러닝 엔지니어
(주)클래스유,[클래스유] 머신러닝 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489475&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력3년↑,정규직,서울,중구,머신러닝 엔지니어
(주)아이지아이코리아,ml engineer 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550972&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력5년↑,정규직,서울,종로구,머신러닝 엔지니어
(주)휴톰,[휴톰/의료기기 소프트웨어] 데이터 / ml 엔지니어(3년~),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49330744&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 3~7년,정규직,서울,마포구,머신러닝 엔지니어
(주)클레온,"ml engineer (machine learning, 머신러닝)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490405&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력 2~10년,정규직,서울,중구,머신러닝 엔지니어
(주)라이앤캐처스,추천엔지니어(ml 엔지니어)를 모집합니다(경력 5년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390535&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력5년↑,정규직,서울,영등포구,머신러닝 엔지니어
(주)야놀자,software engineer - ml product,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519011&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력3년↑,정규직,서울,강남구,머신러닝 엔지니어
(주)더원테크,빅데이터 와 인공지능 ai 프로그램 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458875&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력무관,정규직,서울,금천구,머신러닝 엔지니어
(주)뉴로다임,ai(딥러닝) 연구 및 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524058&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,신입·경력,정규직,서울,성동구,머신러닝 엔지니어
(주)비바리퍼블리카,[토스] ml engineer(platform),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49221016&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=49f0f74e-9945-442c-abf9-7d7531c6ac55,경력무관,정규직,서울,강남구,머신러닝 엔지니어
(주)덴컴,ml optimization 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451002&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,신입·경력,정규직,서울,강남구,머신러닝 엔지니어
(주)퍼블릭에이아이,[퍼블릭에이아이] mlops 플랫폼 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395477&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력2년↑,정규직·무기계약직,서울,서초구,머신러닝 엔지니어
소프트아이(SOFTEYE),ml 엔지니어 채용 - tinyml & edge scale,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387500&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력1년↑,정규직,서울,성동구,머신러닝 엔지니어
하이퍼커넥트 유한책임회사,[하이퍼커넥트] senior ml software engineering team leader 채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49347428&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 5~15년,정규직,서울,강남구,머신러닝 엔지니어
주식회사에이아이구루,주니어 mlops engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451786&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력,정규직,서울,서초구,머신러닝 엔지니어
(주)네비웍스,ai 개발자(3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49542918&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 3~10년,정규직,경기전체,,머신러닝 엔지니어
(주)마음에이아이,(주)마음ai worv팀 채용 (ml engineer 직군),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470646&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력,정규직·인턴직,경기,성남시 수정구,머신러닝 엔지니어
(주)마음에이아이,(주)마음ai ml engineer 채용(산업기능/전문연구요원 병역특례),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49176699&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력무관,정규직·인턴직,경기,성남시 수정구,머신러닝 엔지니어
아일리스프런티어(주),ai 서비스 - 자연어처리 (nlp) / python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395261&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 1~3년,정규직,서울,종로구,머신러닝 엔지니어
엘브이아이에스코리아(주),[ai/헬스케어] 머신러닝 엔지니어 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49382192&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력3년↑,정규직·계약직,서울,서초구,머신러닝 엔지니어
(주)비바리퍼블리카,[토스] ml engineer(ocr),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49221019&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력무관,정규직,서울,강남구,머신러닝 엔지니어
(주)에이젠글로벌,ml engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49436236&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 5~20년,정규직,서울전체,,머신러닝 엔지니어
(주)넥서스커뮤니티,ai 개발(stt/llm 모델 연구 및 개발),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439912&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 7~15년,정규직,서울전체,,머신러닝 엔지니어
(주)딥인사이트,ai soc 응용 프로그램 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394863&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 2~7년,정규직,경기전체,,머신러닝 엔지니어
(주)엠트리센,머신 러닝 엔지니어 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49454261&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력 3~10년,정규직,서울,강남구,머신러닝 엔지니어
코가로보틱스(주),[ai기술연구소] ai개발 엔지니어(신입~경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49185937&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력무관,정규직,서울,성동구,머신러닝 엔지니어
(주)더존비즈온,ai & mlops 플랫폼  ai 개발/엔지니어 및 mlops 개발자 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381445&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력무관,정규직,서울,중구,머신러닝 엔지니어
주식회사크로사이트,ml/ai 엔지니어 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49442470&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력10년↑,정규직,경기,수원시 영통구,머신러닝 엔지니어
(주)비바리퍼블리카,[토스] ml engineer(product),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49221013&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=a7d77e9f-e288-4e94-ba76-5114a1fb4eae,경력무관,정규직,서울,강남구,머신러닝 엔지니어
(주)마음에이아이,(주)마음ai worv팀 채용 (ml software engineer 직군),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49180737&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,경력,정규직,경기,성남시 수정구,머신러닝 엔지니어
NIMBYX CAPITAL INC.,ai / ml engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49288478&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,신입·경력,정규직,서울,강남구,머신러닝 엔지니어
(주)다우기술,ai 서비스 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504601&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,경력 10~15년,정규직,경기전체,,머신러닝 엔지니어
(주)두원전자통신,인공지능 ai 서비스 개발 및 유지보수 경력직(팀장급) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479148&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,경력6년↑,정규직,서울,금천구,머신러닝 엔지니어
(주)샌즈랩,(주)샌즈랩  ai인공지능 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49310224&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,경력 3~10년,정규직,경기,과천시,머신러닝 엔지니어
(주)토페스,ai/딥러닝 개발자 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407461&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,경력 1~2년,정규직,경기전체,,머신러닝 엔지니어
(주)에프에스솔루션,컴퓨터 비전 딥러닝/머신러닝 개발자(adas/dms/영상인식) (신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49450211&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=ab1f6cb3-1ce4-41d1-95fa-e2c19fc1dbb2,신입·경력,정규직,경기전체,,머신러닝 엔지니어
(주)에이아이스페라,ai spera [석사병역특례] 개발자 / 엔지니어 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49201048&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=0bd57318-f687-4d3c-b52c-7d85323f9982,신입,정규직,서울,성동구,머신러닝 엔지니어
